graph,nodes,max_degree,steps,perturbation,eta,delta,beta,beta_multiplier,certified,max_state_error,max_ic_error,ic_bound,max_local_state_jacobian_norm,conditional_jacobian_bound
path32,32,2,64,equivariant_residual,0.0,0.001,13.896890902713386,1.0,True,0.0010000000000000002,0.013773796013188289,0.19839834668044434,0.041648982035432026,0.04164898203543201
path32,32,2,64,equivariant_residual,0.0,0.001,20.845336354070078,1.5,True,2.9805008855310816e-05,0.00041605231269414844,0.19839834668044434,0.0018638307507271813,0.062473473053148015
path32,32,2,64,adversarial,0.1,0.001,8.69868360031304,0.5,False,0.9999999998494277,11.367827808902216,0.19839834668044434,6.5239727640692795,0.02606995475013818
path32,32,2,64,adversarial,0.1,0.001,17.39736720062608,1.0,True,0.0009999999999999994,0.013724346620984207,0.19839834668044434,0.052139909500276325,0.05213990950027636
path32,32,2,64,adversarial,0.1,0.001,26.096050800939118,1.5,True,2.9351944456127435e-05,0.00040966910468576145,0.19839834668044434,0.002297842052788299,0.07820986425041454
path32,32,2,64,equivariant_residual,0.1,0.001,8.69868360031304,0.5,False,0.02494136831425096,0.29497059779928314,0.19839834668044434,0.6663251060241477,0.027373452487645087
path32,32,2,64,equivariant_residual,0.1,0.001,17.39736720062608,1.0,True,0.0001683227036880462,0.002348592303613728,0.19839834668044434,0.009222818736291934,0.054746904975290174
path32,32,2,64,equivariant_residual,0.1,0.001,26.096050800939118,1.5,True,2.154718580983115e-06,3.015784173143743e-05,0.19839834668044434,0.00017712300183471427,0.08212035746293526
path32,32,2,64,adversarial,0.3,0.001,17.529834463575007,0.5,False,1.0,12.738253980194404,0.19839834668044434,8.764244565362585,0.052536913887334294
path32,32,2,64,adversarial,0.3,0.001,35.059668927150014,1.0,True,0.0010000000000000002,0.013470934775575927,0.19839834668044434,0.10507382777466864,0.10507382777466859
path32,32,2,64,adversarial,0.3,0.001,52.58950339072502,1.5,True,2.7163339064328376e-05,0.00037887303090933244,0.19839834668044434,0.004285403126460523,0.1576107416620029
path32,32,2,64,equivariant_residual,0.3,0.001,17.529834463575007,0.5,False,0.0001575851826085679,0.0022002575129302926,0.19839834668044434,0.009528923546105041,0.060417450970434446
path32,32,2,64,equivariant_residual,0.3,0.001,35.059668927150014,1.0,True,2.4371984512755672e-08,3.412074409681054e-07,0.19839834668044434,2.947934221149193e-06,0.12083490194086889
path32,32,2,64,equivariant_residual,0.3,0.001,52.58950339072502,1.5,True,3.804845327692874e-12,5.327116525677411e-11,0.19839834668044434,6.903274956008893e-10,0.18125235291130334
barbell8,16,8,64,adversarial,0.0,0.001,7.033355171739871,0.5,False,0.13080469044798929,0.06043783080867038,0.205018686599039,6.3972485935533285,0.06323689634911317
barbell8,16,8,64,adversarial,0.0,0.001,14.066710343479741,1.0,True,0.0009729625182226721,0.0004945654131764954,0.205018686599039,0.11146075591169231,0.12647379269822634
barbell8,16,8,64,adversarial,0.0,0.001,21.10006551521961,1.5,True,2.630799024605889e-05,1.5667969622379374e-05,0.205018686599039,0.004973733968902472,0.1897106890473395
barbell8,16,8,64,equivariant_residual,0.0,0.001,7.033355171739871,0.5,False,0.13080469044798929,0.06043783080867038,0.205018686599039,6.3972485935533285,0.06323689634911317
barbell8,16,8,64,equivariant_residual,0.0,0.001,14.066710343479741,1.0,True,0.0009729625182226721,0.0004945654131764954,0.205018686599039,0.11146075591169231,0.12647379269822634
barbell8,16,8,64,equivariant_residual,0.0,0.001,21.10006551521961,1.5,True,2.630799024605889e-05,1.5667969622379374e-05,0.205018686599039,0.004973733968902472,0.1897106890473395
barbell8,16,8,64,adversarial,0.1,0.001,8.83216723612347,0.5,False,0.17846142793036895,0.0828518582913147,0.205018686599039,10.359280511862856,0.07941001561998612
barbell8,16,8,64,adversarial,0.1,0.001,17.66433447224694,1.0,True,0.000962347020240441,0.00047205447055320704,0.205018686599039,0.135862883964213,0.15882003123997224
barbell8,16,8,64,adversarial,0.1,0.001,26.49650170837041,1.5,True,2.5082579269860555e-05,1.4916409964094157e-05,0.205018686599039,0.005949707061997455,0.23823004685995836
barbell8,16,8,64,equivariant_residual,0.1,0.001,8.83216723612347,0.5,False,0.02773812869389618,0.011935679565650892,0.205018686599039,1.9412556987965308,0.08073351588031923
barbell8,16,8,64,equivariant_residual,0.1,0.001,17.66433447224694,1.0,True,0.00014903847046325567,7.85578904547446e-05,0.205018686599039,0.023584686527982294,0.16146703176063845
barbell8,16,8,64,equivariant_residual,0.1,0.001,26.49650170837041,1.5,True,1.7640966478563558e-06,9.509012899311386e-07,0.205018686599039,0.0004275292766814754,0.24220054764095766
barbell8,16,8,64,adversarial,0.3,0.001,18.08050989175014,0.5,False,0.542684550851682,0.2531482737029971,0.205018686599039,35.89748248314979,0.16256186443672552
barbell8,16,8,64,adversarial,0.3,0.001,36.16101978350028,1.0,True,0.0008901578830859629,0.00037713788464488474,0.205018686599039,0.2572829081091079,0.32512372887345103
barbell8,16,8,64,adversarial,0.3,0.001,54.24152967525042,1.5,True,1.9601761184147066e-05,1.1595583699453016e-05,0.205018686599039,0.009488512836344557,0.4876855933101765
barbell8,16,8,64,equivariant_residual,0.3,0.001,18.08050989175014,0.5,False,0.00012069219205576157,6.239647213246435e-05,0.205018686599039,0.020249144869312896,0.17068995765856176
barbell8,16,8,64,equivariant_residual,0.3,0.001,36.16101978350028,1.0,True,1.4051936631816262e-08,7.494357801007823e-09,0.205018686599039,4.801830114012613e-06,0.34137991531712353
barbell8,16,8,64,equivariant_residual,0.3,0.001,54.24152967525042,1.5,True,1.6657180289084752e-12,8.86846152070575e-13,0.205018686599039,8.538178366605042e-10,0.5120698729756853
barbell16,32,16,64,adversarial,0.0,0.001,7.149849667338047,0.5,False,0.38766469041749446,0.18752073788828638,0.19839834668044434,27.155790051134115,0.12142589690040205
barbell16,32,16,64,adversarial,0.0,0.001,14.299699334676093,1.0,True,0.000938404691596944,0.0003714044103528824,0.19839834668044434,0.21450100129168195,0.2428517938008041
barbell16,32,16,64,adversarial,0.0,0.001,21.44954900201414,1.5,True,2.2159397204606387e-05,1.1985521635615726e-05,0.19839834668044434,0.008019321005193156,0.36427769070120614
barbell16,32,16,64,equivariant_residual,0.0,0.001,7.149849667338047,0.5,False,0.38766469041749446,0.18752073788828638,0.19839834668044434,27.155790051134115,0.12142589690040205
barbell16,32,16,64,equivariant_residual,0.0,0.001,14.299699334676093,1.0,True,0.000938404691596944,0.0003714044103528824,0.19839834668044434,0.21450100129168195,0.2428517938008041
barbell16,32,16,64,equivariant_residual,0.0,0.001,21.44954900201414,1.5,True,2.2159397204606387e-05,1.1985521635615726e-05,0.19839834668044434,0.008019321005193156,0.36427769070120614
barbell16,32,16,64,adversarial,0.1,0.001,9.016651147060774,0.5,False,0.551218220559299,0.2666873637336471,0.19839834668044434,35.6881496104624,0.15312978643053313
