family,size_parameter,offset,beta,mae,limit_mae
barbell,10000,-0.3999999999999999,18.02068074395237,0.49992386840834163,0.5
barbell,10000,-0.34999999999999987,18.070680743952366,0.49992311708776443,0.5
barbell,10000,-0.2999999999999998,18.120680743952366,0.4999219001232765,0.5
barbell,10000,-0.25,18.170680743952367,0.49991994918273297,0.5
barbell,10000,-0.19999999999999996,18.220680743952368,0.49991685305797173,0.5
barbell,10000,-0.1499999999999999,18.27068074395237,0.49991198793656466,0.5
barbell,10000,-0.09999999999999987,18.320680743952366,0.49990441682104264,0.5
barbell,10000,-0.04999999999999982,18.370680743952366,0.49989274591351524,0.5
barbell,10000,0.0,18.420680743952367,0.49987492160290176,0.5
barbell,10000,0.050000000000000266,18.470680743952368,0.49984794633226337,0.5
barbell,10000,0.10000000000000009,18.52068074395237,0.49980748486014337,0.5
barbell,10000,0.1499999999999999,18.570680743952366,0.4997473240515066,0.5
barbell,10000,0.20000000000000018,18.620680743952366,0.4996586391932229,0.5
barbell,10000,0.25,18.670680743952367,0.49952900793135885,0.5
barbell,10000,0.30000000000000027,18.720680743952368,0.4993410995888152,0.5
barbell,10000,0.3500000000000001,18.77068074395237,0.4990709537364144,0.5
barbell,10000,0.40000000000000036,18.820680743952366,0.49868574937169724,0.5
barbell,10000,0.4500000000000002,18.870680743952366,0.49814095853668094,0.5
barbell,10000,0.5,18.920680743952367,0.4973767820770674,0.5
barbell,10000,0.5500000000000003,18.970680743952368,0.4963137911636858,0.5
barbell,10000,0.6000000000000001,19.02068074395237,0.4948477629483402,0.5
barbell,10000,0.6500000000000004,19.070680743952366,0.49284382713165714,0.5
barbell,10000,0.7000000000000002,19.120680743952366,0.49013026595066966,0.5
barbell,10000,0.75,19.170680743952367,0.4864926728749172,0.5
barbell,10000,0.8000000000000003,19.220680743952368,0.4816697097455703,0.5
barbell,10000,0.8500000000000001,19.27068074395237,0.4753524107878785,0.5
barbell,10000,0.9000000000000004,19.320680743952366,0.46718978468444056,0.5
barbell,10000,0.9500000000000002,19.370680743952366,0.456804124142431,0.5
barbell,10000,1.0,19.420680743952367,0.44381947256135107,0.5
barbell,10000,1.0500000000000003,19.470680743952368,0.4279054083905308,0.5
barbell,10000,1.1,19.52068074395237,0.40883494957153,0.5
barbell,10000,1.1500000000000004,19.570680743952366,0.38654973853229463,0.5
barbell,10000,1.2000000000000002,19.620680743952366,0.3612188766186307,0.5
barbell,10000,1.25,19.670680743952367,0.33327284425785253,0.5
barbell,10000,1.3000000000000003,19.720680743952368,0.30339497769130896,0.5
barbell,10000,1.35,19.77068074395237,0.2724625699462471,0.5
barbell,10000,1.4000000000000004,19.820680743952366,0.24144578289558757,0.0
barbell,10000,1.4500000000000002,19.870680743952366,0.21128801774934022,0.0
barbell,10000,1.5,19.920680743952367,0.18279789103351227,0.0
barbell,10000,1.5500000000000003,19.970680743952368,0.1565770552454174,0.0
barbell,10000,1.6,20.02068074395237,0.13299370556572787,0.0
barbell,10000,1.6500000000000004,20.070680743952366,0.11219670619570732,0.0
barbell,10000,1.7000000000000002,20.120680743952366,0.09415619236113033,0.0
barbell,10000,1.75,20.170680743952367,0.07871484296195902,0.0
barbell,10000,1.8000000000000003,20.220680743952368,0.0656375152185577,0.0
barbell,10000,1.85,20.27068074395237,0.05465221811345918,0.0
barbell,10000,1.9000000000000004,20.320680743952366,0.04548003317496334,0.0
barbell,10000,1.9500000000000002,20.370680743952366,0.03785458561141339,0.0
barbell,10000,2.0,20.420680743952367,0.03153308370088513,0.0
barbell,10000,2.05,20.470680743952368,0.026301269185265045,0.0
barbell,10000,2.1000000000000005,20.52068074395237,0.02197436682161967,0.0
barbell,10000,2.1500000000000004,20.570680743952366,0.01839565260475982,0.0
barbell,10000,2.2,20.620680743952366,0.01543378293326635,0.0
barbell,10000,2.25,20.670680743952367,0.012979630133257538,0.0
barbell,10000,2.3,20.720680743952368,0.010943074931821612,0.0
barbell,10000,2.3500000000000005,20.77068074395237,0.009250003866692735,0.0
barbell,10000,2.4000000000000004,20.820680743952366,0.007839628933683597,0.0
barbell,10000,2.45,20.870680743952366,0.006662167457677971,0.0
barbell,10000,2.5,20.920680743952367,0.005676875325430441,0.0
barbell,10000,2.55,20.970680743952368,0.0048504038410711455,0.0
barbell,10000,2.6000000000000005,21.02068074395237,0.00415544092091466,0.0
barbell,10000,2.6500000000000004,21.070680743952366,0.0035695954533274546,0.0
barbell,10000,2.7,21.120680743952366,0.0030744858293322297,0.0
barbell,10000,2.75,21.170680743952367,0.002654997729039014,0.0
barbell,10000,2.8000000000000007,21.220680743952368,0.002298680969566135,0.0
barbell,10000,2.8500000000000005,21.27068074395237,0.0019952598946670667,0.0
barbell,10000,2.9000000000000004,21.320680743952366,0.0017362360732141968,0.0
barbell,10000,2.95,21.370680743952366,0.0015145658329782912,0.0
barbell,10000,3.0,21.420680743952367,0.001324398360035344,0.0
barbell,10000,3.0500000000000007,21.470680743952368,0.0011608627728154604,0.0
barbell,10000,3.1000000000000005,21.52068074395237,0.0010198947899453686,0.0
barbell,10000,3.1500000000000004,21.570680743952366,0.0008980954177134921,0.0
barbell,10000,3.2,21.620680743952366,0.0007926155502228584,0.0
barbell,10000,3.25,21.670680743952367,0.0007010615614875562,0.0
barbell,10000,3.3000000000000007,21.720680743952368,0.0006214179247713285,0.0
barbell,10000,3.3500000000000005,21.77068074395237,0.0005519836634798948,0.0
barbell,10000,3.4000000000000004,21.820680743952366,0.0004913200558648713,0.0
barbell,10000,3.45,21.870680743952366,0.0004382075120749608,0.0
barbell,10000,3.5,21.920680743952367,0.0003916099407052073,0.0
barbell,10000,3.5500000000000007,21.970680743952368,0.00035064524233924715,0.0
barbell,10000,3.6000000000000005,22.02068074395237,0.00031456082518741837,0.0
barbell,10000,3.6500000000000004,22.070680743952366,0.00028271324533002813,0.0
barbell,10000,3.7,22.120680743952366,0.00025455124124596444,0.0
barbell,10000,3.75,22.170680743952367,0.00022960156728135173,0.0
barbell,10000,3.8000000000000007,22.220680743952368,0.00020745713979478317,0.0
