family,size_parameter,represented_nodes,schedule,beta,mae,max_state_error_all_steps,max_state_error_final
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_2.0,368.4136148790473,0.5,1.0,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_2.1,386.8342956229997,2.220446049250313e-16,1.0394413751487756e-84,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_2.5,460.51701859880916,2.220446049250313e-16,9.99999999999989e-101,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_3.0,552.620422318571,2.220446049250313e-16,1.0000000000000094e-120,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_4,4.0,0.4999999999999998,1.0,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_8,8.0,0.4999999999999998,1.0,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_12,12.0,0.4999999999999998,1.0,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_20,20.0,0.4999999999999998,1.0,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_100,100.0,0.4999999999999998,1.0,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_1.5,414.4653167389282,0.4999999999999998,1.0,0.0
