n,degree,density,seed,distribution,K,schedule,tau,normalized,probe_gap,state_max,entropy_bound,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
6,5,0.6,2,uniform,5,size_scaled,0.020711164485320396,True,0.5069494388366707,0.028716621605023196,0.11571842598451326,0.11271880831804637,0.10605058536489341,0.10999627745449492,0.1060505853648935,0.07372808585505104,0
6,5,0.6,2,loguniform,5,fixed.1,0.1,False,0.13664413797653918,0.29333998781324405,0.5587248658400249,0.1873820472144311,0.13218688937101236,0.17083424778723155,0.1321868893710124,,5
6,5,0.6,2,loguniform,5,fixed.1,0.1,True,0.13664413797653918,0.29333998781324405,0.5587248658400249,0.4285557854291375,0.37986323954876094,0.3948905402975224,0.37986323954876094,8.744671108881372,0
6,5,0.6,2,loguniform,5,fixed.01,0.01,False,0.13664413797653918,0.017445993791857517,0.05587248658400249,0.00011877404714250028,8.153788298462735e-05,0.00011596077783310177,8.153788298462018e-05,0.011087250917652577,0
6,5,0.6,2,loguniform,5,fixed.01,0.01,True,0.13664413797653918,0.017445993791857517,0.05587248658400249,0.05430924510379043,0.051123475008992704,0.05299369730644485,0.051123475008992704,3.956534014905467,0
6,5,0.6,2,loguniform,5,size_scaled,0.020711164485320396,False,0.13664413797653918,0.04175748030333215,0.11571842598451326,0.00412856148418228,0.0028044562575626247,0.003976476854563218,0.002804456257562621,0.3941899509939712,0
6,5,0.6,2,loguniform,5,size_scaled,0.020711164485320396,True,0.13664413797653918,0.04175748030333215,0.11571842598451326,0.10905792706122655,0.10324708819030676,0.10601980957969746,0.10324708819030676,5.798569177272706,0
12,5,0.2,0,unit,11,fixed.1,0.1,False,1.0,1.1748708796630876,1.2124585979183244,0.13863624808539043,0.01340056818255949,0.03627236660796074,0.013400568182559322,0.0024309118914099584,0
12,5,0.2,0,unit,11,fixed.1,0.1,True,1.0,1.1748708796630876,1.2124585979183244,1.1822581497792068,0.9691574302422449,1.0810341378505894,0.9691574302422447,0.12424553388528618,0
12,5,0.2,0,unit,11,fixed.01,0.01,False,1.0,0.11748708796631036,0.12124585979183243,0.01386294361119944,0.0013395476228006172,0.0036263491332402253,0.0013395476228006038,0.0002411711125808689,0
