family,n,degree,K,schedule,beta,state_max,original_readout_mae,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
cycle,32,2,16,fixed8,8.0,0.9999999979388463,0.9299811343376128,4.939715125524371,0.9328830661628754,0.9305613501534342,0.9305613501534342,0.01537838482532261,0
cycle,32,2,16,degree,3.295836866004329,0.9997353865417921,5.970627169433641,13.608850457699932,5.998759896675544,5.976475188680517,5.976475188680517,0.3171972202327075,0
cycle,32,2,16,order,5.19860385419959,0.9999977316923376,5.29653937074252,12.795595803235027,5.307779983681857,5.298778022573202,5.298778022573202,0.21682554310582447,0
cycle,32,2,16,order_strong,10.39720770839918,0.006778725205533315,0.042624482365242966,0.10006428557849922,0.04351075583088709,0.04280183966397111,0.04280183966397105,0.0006309031708331544,0
star,32,31,2,fixed8,8.0,0.017986209962091562,0.01715051691201188,0.053958629886274645,0.051709834744682666,0.051638357182330674,0.05058672074868346,0.013819873345097117,0
star,32,31,2,degree,10.39720770839918,0.005493921811082991,0.005177134105744087,0.016481765433248974,0.015795011266353506,0.015772884489273276,0.015451664776978687,0.004148900514470963,0
star,32,31,2,order,5.19860385419959,0.06918336064289915,0.0693590291253898,0.20755008192869728,0.19884952018690566,0.19867753534309762,0.19463084129784955,0.057312352417842057,0
star,32,31,2,order_strong,10.39720770839918,0.005493921811082991,0.005177134105744087,0.016481765433248974,0.015795011266353506,0.015772884489273276,0.015451664776978687,0.004148900514470963,0
paths,300,2,2,fixed8,8.0,0.027429300694919154,0.22577013267181315,0.053958629886274645,0.029966824581388732,0.017994402975144208,0.017986941957397917,0.01128132135565274,0
paths,300,2,2,degree,3.295836866004329,0.48696086373294367,0.2535143975588332,0.48417143338922664,0.24750282724049688,0.1816250226612992,0.16688856852941142,0.10149989469319308,0
paths,300,2,2,order,8.555673711984301,0.019328827144923108,0.21458589354948307,0.041048464014271424,0.02280045193015538,0.013686195436414916,0.013683069835860984,0.008589938632923308,0
paths,300,2,2,order_strong,17.111347423968603,0.00019432263498043396,0.009352075112317983,0.0005772391794576226,0.00032068842348128196,0.00019241306699413485,0.0001924130598349727,0.00012114393647725634,0
barbell,200,100,3,fixed8,8.0,0.9999692308729523,0.4924992162825685,1.017955440835044,0.51048361846677,0.4975625128272372,0.49258779158790994,0.16392964866401488,0
barbell,200,100,3,degree,13.84536155052378,0.0038340256436996314,0.0018909339020978743,0.004833723868008288,0.002877586480177306,0.0019187258431891951,0.0019008594999300765,0.00047592966355717637,0
barbell,200,100,3,order,7.947476049822054,0.9999773224774198,0.4925032487150998,1.018433309729128,0.5109573810013383,0.4975688990038438,0.49259413749654074,0.16393246000371392,0
barbell,200,100,3,order_strong,15.894952099644108,0.0006196702303295023,0.00037112582388188154,0.0013743634590128728,0.0008542293682605006,0.0005086540925076655,0.000504593667838612,0.0001263814657280482,0
