family,n,m,gap,tau,normalized,prediction,absolute_error,represented_only,weight_scale,scale,schedule,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
parallel_paths,130,128,0.01,1.0,False,-2.8421087777676686,4.842108777767669,,,,,,,,,,
parallel_paths,130,128,0.01,1.0,True,2.0099214861519465,0.009921486151946546,,,,,,,,,,
parallel_paths,130,128,0.01,0.02057692595505337,False,1.910059780656085,0.08994021934391494,,,,,,,,,,
parallel_paths,130,128,0.01,0.02057692595505337,True,2.009899648128437,0.009899648128437022,,,,,,,,,,
parallel_paths,130,128,0.1,0.01,False,1.9999425076747535,5.749232524654424e-05,,,,,,,,,,
parallel_paths,130,128,0.1,0.01,True,2.0484628103139495,0.0484628103139495,,,,,,,,,,
parallel_paths,130,128,0.1,0.1,False,1.6134634963880954,0.3865365036119046,,,,,,,,,,
parallel_paths,130,128,0.1,0.1,True,2.098666522780057,0.09866652278005716,,,,,,,,,,
parallel_paths,130,128,0.1,1.0,False,-2.7528515743493176,4.752851574349318,,,,,,,,,,
parallel_paths,130,128,0.1,1.0,True,2.0991786895702975,0.09917868957029752,,,,,,,,,,
parallel_paths,130,128,0.1,0.02057692595505337,False,1.9858972943173123,0.014102705682687677,,,,,,,,,,
parallel_paths,130,128,0.1,0.02057692595505337,True,2.0857371617896643,0.08573716178966428,,,,,,,,,,
parallel_paths,130,128,1.0,0.01,False,2.0,0.0,,,,,,,,,,
parallel_paths,130,128,1.0,0.01,True,2.0485203026391963,0.04852030263919627,,,,,,,,,,
parallel_paths,130,128,1.0,0.1,False,1.9994250767475277,0.0005749232524723258,,,,,,,,,,
parallel_paths,130,128,1.0,0.1,True,2.4846281031394892,0.48462810313948923,,,,,,,,,,
parallel_paths,130,128,1.0,1.0,False,-1.8653650361190446,3.8653650361190444,,,,,,,,,,
parallel_paths,130,128,1.0,1.0,True,2.9866652278005708,0.9866652278005708,,,,,,,,,,
parallel_paths,130,128,1.0,0.02057692595505337,False,2.0,0.0,,,,,,,,,,
parallel_paths,130,128,1.0,0.02057692595505337,True,2.099839867472352,0.09983986747235196,,,,,,,,,,
